address,slots,name,bikes,status,zip,id,lon,lat,stationType,addressNumber,nearbyStations,district
368 - Porfirio Díaz-Cincinatti,20,368 PORFIRIO DÍAZ-CINCINATTI ,4,OPN,3740,368,-99.179344,19.379246,BIKE,S/N,"366,367,369",1
369 - Porfirio Díaz-Av. Insurgentes,19,369 PORFIRIO DÍAZ-AV. INSURGENTES,17,OPN,3740,369,-99.177478,19.379884,"BIKE,TPV",S/N,"367,368",1
370 - Tlacoquemecatl-Av. Insurgentes,30,370 TLACOQUEMECATL-AV. INSURGENTES,0,OPN,3200,370,-99.177054,19.378818,BIKE,S/N,"361,369,371",TLA
371 - Tlacoquemecatl-Capulin,21,371 TLACOQUEMECATL-CAPULIN,0,OPN,3200,371,-99.174328,19.378542,BIKE,S/N,"361,369,370",TLA
372 - Dr. Roberto Gayol-Tlacoquemecatl,18,372 DR. ROBERTO GAYOL-TLACOQUEMECATL,3,OPN,3104,372,-99.170289,19.37797,"BIKE,TPV",S/N,"373,378,379",1
373 - Pilares-Gabriel Mancera,14,373 PILARES-GABRIEL MANCERA,4,OPN,3100,373,-99.166663,19.377968,BIKE,S/N,"357,372,378",DVC
374 - Anaxágoras-Pilares,9,374 PITÁGORAS-PILARES,21,OPN,3100,374,-99.161116,19.376964,"BIKE,TPV",S/N,"359,375,376",DVC
375 - Tenayuca-División Del Norte,18,375 TENAYUCA-DIVISIÓN DEL NORTE,6,OPN,3650,375,-99.158818,19.376865,BIKE,S/N,"359,374,376",LEV
376 - Pitágoras-Av. Universidad,23,376 PITÁGORAS-AV. UNIVERSIDAD,4,OPN,3650,376,-99.161595,19.375442,BIKE,S/N,"374,375,377",LEV
377 - Heriberto Frías-Miguel Laurent,27,377 HERIBERTO FRÍAS-MIGUEL LAURENT,9,OPN,3104,377,-99.16375,19.375394,BIKE,S/N,"373,376,400",DVS
378 - Miguel Laurent-Amores,28,378 MIGUEL LAURENT-AMORES,2,OPN,3104,378,-99.168076,19.375823,BIKE,S/N,"372,373,379",DVS
379 - Dr. Roberto Gayol-Miguel Laurent,36,379 DR. ROBERTO GAYOL-MIGUEL LAURENT,0,OPN,3104,379,-99.17084,19.375751,BIKE,S/N,"378,380,395",1
380 - Moras-San Lorenzo,22,380 MORAS-SAN LORENZO,4,OPN,3200,380,-99.173512,19.374876,BIKE,S/N,"392,393,394",TLA
381 - San Lorenzo-Manzanas,23,381 SAN LORENZO-MANZANAS,3,OPN,3200,381,-99.177894,19.375541,BIKE,S/N,"382,387,389",TLA
382 - San Lorenzo-Av. Insurgentes,14,382 SAN LORENZO-AV. INSURGENTES,10,OPN, 3200 ,382,-99.178084,19.375591,BIKE,S/N,"381,387,389",TLA
383 - Luis Caracci-2da. Luis Caracci,1,383 LUIS CARACCI-2DA. LUIS CARACCI,14,OPN,3740,383,-99.181527,19.375764,BIKE,S/N,"366,382,387",EXI
384 - Empresa-Poussin,0,384 EMPRESA-POUSSIN,21,OPN,3920,384,-99.185583,19.375873,BIKE,S/N,"385,386,417",INM
385 - Poussin-Empresa,14,385 POUSSIN-EMPRESA,21,OPN,3920,385,-99.18558,19.375651,"BIKE,TPV",S/N,"384,386,417",INM
386 - Poussin-Donatello,16,386 POUSSIN-DONATELLO,20,OPN,3920,386,-99.185846,19.37484,BIKE,S/N,"384,385,417",INM
387 - Cadiz-Empresa,18,387 CADIZ-EMPRESA,0,OPN,3920,387,-99.180505555556,19.37455556,BIKE,S/N,"381,382,383",INM
388 - Valencia-Malaga,13,388 VALENCIA-MALAGA,8,OPN,3920,388,-99.181355,19.373038,BIKE,S/N,"387,389,390",INM
389 - Santander-Felix Cuevas,26,389 SANTANDER-FELIX CUEVAS,10,OPN,3920,389,-99.179356,19.373528,BIKE,S/N,"388,390,391",INM
390 - Oso-Felix Cuevas,22,390 OSO-FELIX CUEVAS,14,OPN,3104,390,-99.17826,19.373228,"BIKE,TPV",S/N,"389,391,416",DVS
391 - Oso-Felix Cuevas,25,391 OSO-FELIX CUEVAS,1,OPN,3104,391,-99.178283,19.373142,BIKE,S/N,"389,390,416",DVS
392 - Patricio Sanz-Felix Cuevas,15,392 PATRICIO SANZ-FELIX CUEVAS,6,OPN,3200,392,-99.1747749,19.3730067,BIKE,S/N,"380,393,394",TLA
393 - Adolfo Prieto-Felix Cuevas,28,393 ADOLFO PRIETO-FELIX CUEVAS,8,OPN,3200,393,-99.172558,19.372796,"BIKE,TPV",S/N,"380,392,394",TLA
394 - Dr. Roberto Gayol-Felix Cuevas,18,394 DR. ROBERTO GAYOL-FELIX CUEVAS,18,OPN,3104,394,-99.171592,19.372437,BIKE,S/N,"393,395,396",DVS
395 - San Lorenzo-Callejón Martín Menlalde,21,395 SAN LORENZO-CALLEJÓN MARTÍN MENLALDE,9,OPN,3104,395,-99.169814,19.373742,BIKE,S/N,"379,394,396",DVS
396 - Martín Menlalde-Felix Cuevas,2,396 MARTÍN MENLALDE-FELIX CUEVAS,19,OPN,3104,396,-99.170187,19.371554,BIKE,S/N,"394,395,413",DVS
397 - San Lorenzo-Gabriel Mancera,21,397 SAN LORENZO-GABRIEL MANCERA,8,OPN,3104,397,-99.167247,19.373194,BIKE,S/N,"398,399,400",DVS
